"outcome","exposure_label","model","term","estimate","conf.low","conf.high","p.value","q.value"
"cvd_composite","sleep_score","M1","sleep_score",1.50692186206498,1.4119168469289,1.60831957158716,3.0735389071587e-21,1.84412334429522e-20
"cvd_mi","sleep_score","M1","sleep_score",1.44919714555941,1.2834345032123,1.63636894710328,3.16100254718179e-08,3.79320305661815e-08
"cvd_stroke","sleep_score","M1","sleep_score",1.48040231004496,1.36705607357195,1.60314638291325,9.80684387515078e-16,2.94205316254523e-15
"cvd_angina","sleep_score","M2","sleep_score",1.51703069470004,1.29317229632486,1.77964076032446,1.50354373457508e-06,3.00708746915015e-06
"cvd_chd","sleep_score","M2","sleep_score",1.36051563008457,1.15987594741847,1.59586271602939,0.000243738209348988,0.000292485851218786
"cvd_chf","sleep_score","M2","sleep_score",1.21268953723843,1.09281014002315,1.34571949862799,0.000410118897215773,0.000410118897215773
"cvd_composite","sleep_score","M2","sleep_score",1.3914975079556,1.29577420231828,1.49429222404835,2.87736646609594e-14,1.72641987965756e-13
"cvd_mi","sleep_score","M2","sleep_score",1.32788077950195,1.16115200688572,1.51854998666359,6.67925858428994e-05,0.000100188878764349
"cvd_stroke","sleep_score","M2","sleep_score",1.41186810338994,1.29158871818097,1.54334852365179,2.82546116718273e-11,8.4763835015482e-11
"cvd_angina","sleep_score","M3","sleep_score",1.41879079469697,1.15572645792876,1.74173335334419,0.00108584415053123,0.00217168830106247
"cvd_chd","sleep_score","M3","sleep_score",1.17200806615831,0.945522518899145,1.45274478363498,0.145120053283052,0.174144063939663
"cvd_chf","sleep_score","M3","sleep_score",1.20799702157706,0.992181497509118,1.47075591290759,0.0596138277949165,0.0894207416923747
"cvd_composite","sleep_score","M3","sleep_score",1.28427571839353,1.16622844960256,1.41427189622865,1.85233939967018e-06,1.11140363980211e-05
"cvd_mi","sleep_score","M3","sleep_score",1.14538635601003,0.94020106421418,1.39535037181693,0.174861248806974,0.174861248806974
"cvd_stroke","sleep_score","M3","sleep_score",1.28122091286571,1.10808815417122,1.48140472523344,0.00107740328001196,0.00217168830106247
