"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","q.value"
"DII_QQ4",2.81065843106287,0.206423177832279,5.00631171292972,2.91779546970062e-06,1.8646308108082,4.23665680643811,"cvd_chf","DII_Q","M1","DII_Q",8.75338640910186e-06
"DII_QQ2",2.02027815049505,0.231786081859424,3.03398372567064,0.00326581962551328,1.27363694604799,3.20462107983942,"cvd_chf","DII_Q","M2","DII_Q",NA
"DII_QQ3",1.94116953837456,0.209985102274002,3.15875097366672,0.00224522318783182,1.27803757291098,2.94837902780169,"cvd_chf","DII_Q","M2","DII_Q",NA
"DII_QQ4",2.00975594697101,0.207182524749428,3.36907418290146,0.00116841993514215,1.33059577802951,3.03557175896568,"cvd_chf","DII_Q","M2","DII_Q",0.00245003892372899
"DII_QQ2",1.76604141764385,0.40296314429346,1.41139596203872,0.16231869842392,0.791218562893466,3.94189726467962,"cvd_chf","DII_Q","M3","DII_Q",NA
"DII_QQ3",1.5951442535863,0.357553785482025,1.30599700584255,0.19559880220343,0.782331045502115,3.25244051655434,"cvd_chf","DII_Q","M3","DII_Q",NA
"DII_QQ4",1.92761158189417,0.298365086692502,2.19959285952062,0.0309591577232681,1.0637243646098,3.49309138182199,"cvd_chf","DII_Q","M3","DII_Q",0.0695386259813498
"sleep_score",1.34416946709888,0.044156039758367,6.69843417485066,1.58683029186614e-09,1.23132543899507,1.46735501359858,"cvd_chf","sleep_score","Crude","sleep_score",2.38024543779921e-09
"sleep_score",1.36756295262491,0.0426357399574598,7.3419691881275,1.00114922107216e-10,1.25646310616101,1.48848654625955,"cvd_chf","sleep_score","M1","sleep_score",2.00229844214432e-10
"sleep_score",1.21268953723843,0.0523138552185865,3.68622519175923,0.000410118897215773,1.09281014002315,1.34571949862799,"cvd_chf","sleep_score","M2","sleep_score",0.000410118897215773
"sleep_score",1.20799702157706,0.0988178781033231,1.91224136314787,0.0596138277949165,0.992181497509118,1.47075591290759,"cvd_chf","sleep_score","M3","sleep_score",0.0894207416923747
"sleep_disorder",2.30802532375976,0.124805839069031,6.70154799639877,1.56419709175234e-09,1.80137931774129,2.95716778951129,"cvd_chf","sleep_disorder","Crude","sleep_disorder",3.10866913243398e-09
"sleep_disorder",2.31932872183794,0.122485310326299,6.86839750443244,8.83658760616867e-10,1.81823087923829,2.95852731430672,"cvd_chf","sleep_disorder","M1","sleep_disorder",2.6509762818506e-09
"sleep_disorder",1.77901744500874,0.143665027248937,4.00975258726804,0.000134509273496268,1.33671201008931,2.36767758930659,"cvd_chf","sleep_disorder","M2","sleep_disorder",0.000201763910244401
"sleep_disorder",1.66747232409075,0.220362788799965,2.3203050941923,0.023009845552592,1.0751050425277,2.58622538414611,"cvd_chf","sleep_disorder","M3","sleep_disorder",0.034514768328888
"DII",1.11593167136825,0.0454766500984886,2.41199902531555,0.0178285566224587,1.01957107223393,1.22139939929269,"cvd_chd","DII","Crude","DII_cont",NA
"DII",1.13955937324029,0.0468092806788804,2.79093528236564,0.00644426528862848,1.03833457969164,1.25065233359121,"cvd_chd","DII","M1","DII_cont",NA
