"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","outcome_label"
"DII_QQ4",1.14027972282105,0.221602361249168,0.218369929100582,0.601152382767313,0.547738496539397,0.743249423211295,1.74939637444859,"mort_cvd","DII_Q","M2","DII_Q","cvd"
"DII_QQ2",1.09564148919462,0.348876388822739,0.344903332553893,0.26482790391959,0.791142039910567,0.557296378157135,2.15402489571918,"mort_cvd","DII_Q","M3","DII_Q","cvd"
"DII_QQ3",1.50719745447698,0.322052864842424,0.367374701831813,1.11671253868146,0.264117254930521,0.733601547566293,3.09656403304767,"mort_cvd","DII_Q","M3","DII_Q","cvd"
"DII_QQ4",1.19508517629675,0.339504959547674,0.35400254375627,0.503435535202967,0.614658093063961,0.597133378411197,2.39180831325215,"mort_cvd","DII_Q","M3","DII_Q","cvd"
"sleep_score",1.15684838448111,0.0646516971093133,0.0637027149849237,2.28717720624934,0.0221854818955201,1.02106313183087,1.31069092885262,"mort_cvd","sleep_score","Crude","sleep_score","cvd"
"sleep_score",1.249361346664,0.0673179301564555,0.0695913216500308,3.19914168607903,0.00137837409302776,1.090063568221,1.43193830162171,"mort_cvd","sleep_score","M1","sleep_score","cvd"
"sleep_score",1.20195970129411,0.0675832539116051,0.0772596614628532,2.38097482813622,0.0172668917995857,1.03306194581686,1.39847095267134,"mort_cvd","sleep_score","M2","sleep_score","cvd"
"sleep_score",1.46308149357553,0.106499361806135,0.136057221446232,2.7969468985236,0.0051588011223603,1.12061491923602,1.91020788684714,"mort_cvd","sleep_score","M3","sleep_score","cvd"
"sleep_disorder",1.53588948775146,0.161748981391589,0.168563525441409,2.54568527167979,0.0109063470870893,1.10376961618523,2.1371819662316,"mort_cvd","sleep_disorder","Crude","sleep_disorder","cvd"
"sleep_disorder",1.75562461979833,0.162148369417647,0.162408484592759,3.46548829468874,0.000529269565752954,1.27699533216285,2.41364845118241,"mort_cvd","sleep_disorder","M1","sleep_disorder","cvd"
"sleep_disorder",1.61975093840694,0.164601520790153,0.184331172249297,2.6163366174901,0.00888788882066417,1.12861355491855,2.32461597775113,"mort_cvd","sleep_disorder","M2","sleep_disorder","cvd"
"sleep_disorder",2.13078033754258,0.237967918585511,0.242738320181944,3.11647649088226,0.00183026273148267,1.32409592137488,3.42892442576493,"mort_cvd","sleep_disorder","M3","sleep_disorder","cvd"
