"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high","subgroup_var","subgroup_level","outcome","exposure"
"sleep_disorder",1.31649890856396,0.0907867756776283,0.0964238725674895,2.85174058652033,0.00434805687649261,1.08979385382994,1.5903644254912,"age_group",">=60","mort_allcause","sleep_disorder"
"sleep_disorder",1.34264220778411,0.120575929481735,0.120034359759058,2.45462607513633,0.0141031201176941,1.06117464193183,1.69876665620435,"race","Non-Hispanic White","mort_allcause","sleep_disorder"
"sleep_disorder",1.34879825509988,0.18170128475272,0.239355809613697,1.25008043497666,0.211270166060978,0.843736740622047,2.15619001208745,"race","Non-Hispanic Black","mort_allcause","sleep_disorder"
"sleep_disorder",1.15433699934886,0.35644484944131,0.362136266090845,0.396331895087406,0.691860200734422,0.567651340199043,2.34738088982313,"race","Mexican American","mort_allcause","sleep_disorder"
"sleep_disorder",0.92816755846191,0.425368973662232,0.299164624948068,-0.249170515465294,0.80322888552231,0.516389014148747,1.66830624389114,"race","Other Hispanic","mort_allcause","sleep_disorder"
"sleep_disorder",1.07159931421344,0.410901887059083,0.515176517326959,0.134230145197326,0.893220589188466,0.390403210477218,2.94138229247407,"race","Other Race","mort_allcause","sleep_disorder"
"sleep_disorder",1.59592201990309,0.12315557740274,0.133367958133995,3.50497709243215,0.000456646572816937,1.22882108648545,2.07269155910739,"education","Less than HS","mort_allcause","sleep_disorder"
"sleep_disorder",1.0816718682922,0.164734630214136,0.169187378152419,0.464029121040268,0.642626881847294,0.776395442735559,1.50698209475868,"education","High school","mort_allcause","sleep_disorder"
"sleep_disorder",1.30789143724819,0.14333880415864,0.158550510147006,1.692938422562,0.0904671887905031,0.958546658445089,1.7845558132788,"education","College or above","mort_allcause","sleep_disorder"
"sleep_disorder",1.26363835643138,0.1186502160786,0.131826965748924,1.77501729664869,0.0758950312687224,0.975913854115941,1.63619144160124,"pir_group","<=1.3","mort_allcause","sleep_disorder"
"sleep_disorder",1.18958459082107,0.127910906532199,0.15578140347958,1.11440877382248,0.265103861030298,0.876584846830982,1.61434629384117,"pir_group","1.3-3.5","mort_allcause","sleep_disorder"
"sleep_disorder",1.83545218357294,0.22510485452055,0.271431717748989,2.23736149095502,0.0252627232743032,1.07820161474595,3.12454059807401,"pir_group",">3.5","mort_allcause","sleep_disorder"
"sleep_disorder",1.33330476691746,0.174031780270186,0.185678941914454,1.54923678713601,0.121324809207296,0.926572123260015,1.9185787666806,"bmi_cat","<25","mort_allcause","sleep_disorder"
"sleep_disorder",1.16635389290218,0.160900250729282,0.171305973522754,0.898290637049272,0.369030622877039,0.833708893300827,1.63172231269124,"bmi_cat","25-29.9","mort_allcause","sleep_disorder"
"sleep_disorder",1.45859660636055,0.125228682700048,0.144318762541572,2.61556251090324,0.00890806136130237,1.09923575268014,1.93543928579404,"bmi_cat",">=30","mort_allcause","sleep_disorder"
"sleep_disorder",1.21503497249055,0.12803324411288,0.12783542639096,1.5236219397073,0.127603179310201,0.945747204476365,1.56099851777253,"smoke_status","Never","mort_allcause","sleep_disorder"
"sleep_disorder",1.38371244822411,0.117009637449981,0.138151578657861,2.35082414648838,0.0187318842859679,1.05548243673314,1.81401421069259,"smoke_status","Ever","mort_allcause","sleep_disorder"
"sleep_disorder",1.34908019250482,0.118532186052284,0.116802399503752,2.56350060118912,0.0103622521431016,1.07303869454171,1.69613395590191,"alcohol_any","No","mort_allcause","sleep_disorder"
"sleep_disorder",1.34228088145624,0.11696448014942,0.1439471565211,2.04498876116424,0.0408559661342425,1.01231427880106,1.77980099901071,"alcohol_any","Yes","mort_allcause","sleep_disorder"
"sleep_disorder",1.19981612872066,0.111772413549783,0.118544425047258,1.53670928780413,0.124364515673356,0.951063464024727,1.51363058007325,"diabetes","0","mort_allcause","sleep_disorder"
"sleep_disorder",1.43415289961224,0.121913339780651,0.184911090811705,1.94998774527734,0.0511775796939196,0.998156983160888,2.0605922456735,"diabetes","1","mort_allcause","sleep_disorder"
"sleep_disorder",0.994782053898728,0.179824202006802,0.192701455014173,-0.0271487681503044,0.978341077719103,0.681867774668594,1.45129506265337,"hypertension","0","mort_allcause","sleep_disorder"
"sleep_disorder",1.42150027037231,0.0936929794985853,0.110968617030379,3.16948027039693,0.00152711825586285,1.14364250617333,1.76686596358662,"hypertension","1","mort_allcause","sleep_disorder"
"sleep_disorder",0.925989065681353,1.41080532307613,0.919723993862444,-0.083604269365907,0.933371072360321,0.152663556469686,5.61663680311083,"age_group","20-39","mort_cvd","sleep_disorder"
"sleep_disorder",2.03229238299302,0.517470053325112,0.462126748927719,1.53456689161333,0.124890250488949,0.821529546557027,5.02746656803868,"age_group","40-59","mort_cvd","sleep_disorder"
"sleep_disorder",1.55269193872525,0.166352956386137,0.187403557378724,2.34782180961302,0.0188835528044553,1.07539274191589,2.24183422726775,"age_group",">=60","mort_cvd","sleep_disorder"
"sleep_disorder",1.60110827094459,0.240414484977737,0.23434042149433,2.00859952286467,0.0445796219657987,1.01146246891287,2.53449611238913,"race","Non-Hispanic White","mort_cvd","sleep_disorder"
"sleep_disorder",2.50233909595672,0.298309723862052,0.394870978235169,2.32284969870291,0.0201872281475304,1.15406793665619,5.42576459519032,"race","Non-Hispanic Black","mort_cvd","sleep_disorder"
"sleep_disorder",0.983929694924612,0.753695468284436,0.832908879929329,-0.0194509064798918,0.984481400577609,0.192305074208692,5.0342802889529,"race","Mexican American","mort_cvd","sleep_disorder"
"sleep_disorder",2.60395451312904,0.721520328446962,0.479709935672378,1.99502070928746,0.0460406212358231,1.01695926193881,6.66750317364545,"race","Other Hispanic","mort_cvd","sleep_disorder"
"sleep_disorder",0.0400916802579224,2.04094358589442,1.89469226273308,-1.69768278697691,0.0895676482383505,0.000977888367794401,1.64368743799336,"race","Other Race","mort_cvd","sleep_disorder"
"sleep_disorder",2.22982235019093,0.212735058899552,0.245274117573223,3.26949262580794,0.00107740545567406,1.37877232260959,3.60618474267044,"education","Less than HS","mort_cvd","sleep_disorder"
"sleep_disorder",1.07526784652688,0.352417560671318,0.299743792753676,0.242106064775321,0.80869797896898,0.597550040864669,1.93490228885516,"education","High school","mort_cvd","sleep_disorder"
"sleep_disorder",1.54633291932166,0.292497230603977,0.306403499530205,1.42258906974666,0.154855314401424,0.848187503976392,2.81912370338857,"education","College or above","mort_cvd","sleep_disorder"
"sleep_disorder",1.17900182093237,0.243142324778894,0.306152426102745,0.537863338605967,0.590671400330358,0.647019036033388,2.14838392125778,"pir_group","<=1.3","mort_cvd","sleep_disorder"
"sleep_disorder",1.85986707959625,0.223222099224592,0.233794270257305,2.65406428440686,0.00795286743498159,1.17618561521962,2.94095209889131,"pir_group","1.3-3.5","mort_cvd","sleep_disorder"
"sleep_disorder",2.3541091197131,0.536377648192418,0.513704287994469,1.66664437652358,0.0955851393473193,0.86012328927206,6.44306440325147,"pir_group",">3.5","mort_cvd","sleep_disorder"
"sleep_disorder",1.96278458038626,0.32162528358902,0.314409837890198,2.14485708780891,0.0319642751419116,1.05985511055515,3.63495280688333,"bmi_cat","<25","mort_cvd","sleep_disorder"
"sleep_disorder",1.95589610688194,0.327427687142758,0.337304212520759,1.98885288178739,0.0467174438362578,1.00979197746768,3.7884333271388,"bmi_cat","25-29.9","mort_cvd","sleep_disorder"
"sleep_disorder",1.41379324986078,0.242226533279131,0.240863914817817,1.43764307966101,0.150535351050883,0.881783905637284,2.26678139686314,"bmi_cat",">=30","mort_cvd","sleep_disorder"
"sleep_disorder",1.83901810029105,0.207279123081963,0.220187860279546,2.7668727388701,0.00565968438512737,1.19443289997886,2.83145882305985,"smoke_status","Never","mort_cvd","sleep_disorder"
"sleep_disorder",1.25811682332374,0.27213348086834,0.262961067539499,0.873193969139298,0.382557361477969,0.751429261906079,2.10646300506735,"smoke_status","Ever","mort_cvd","sleep_disorder"
"sleep_disorder",1.7280074453525,0.203087132920881,0.250916292895724,2.17988625893241,0.029265893747281,1.05673300902423,2.82569930691472,"alcohol_any","No","mort_cvd","sleep_disorder"
"sleep_disorder",1.59491214465161,0.250495830182278,0.257570956428706,1.81238855292225,0.0699261803356513,0.962702211450593,2.6422965678289,"alcohol_any","Yes","mort_cvd","sleep_disorder"
"sleep_disorder",1.68030273544545,0.220464196673097,0.262078870065435,1.98022059817907,0.0476787462982951,1.00532294722424,2.80846795603453,"diabetes","0","mort_cvd","sleep_disorder"
"sleep_disorder",1.39571754237935,0.227181926924153,0.202132509980281,1.64945584637209,0.0990542816997735,0.939165288345853,2.07421151769407,"diabetes","1","mort_cvd","sleep_disorder"
"sleep_disorder",1.95149051448961,0.379249462326683,0.319367395241555,2.09349312723569,0.0363051569453689,1.04356721082343,3.64932434503951,"hypertension","0","mort_cvd","sleep_disorder"
"sleep_disorder",1.45013996446666,0.175292694366149,0.200797356852795,1.85092117156146,0.0641808944497463,0.97834245805428,2.14945789097779,"hypertension","1","mort_cvd","sleep_disorder"
